id,price,bedrooms,bathrooms,surface_m2,elevator,floor,terrace,parking,property_type,city,price_per_m2
1,100.0,2,1,98,True,5,True,False,Appartement,Casablanca,1.0204081632653061
2,175.0,1,2,173,True,7,True,False,Bureau,Casablanca,1.0115606936416186
3,260.0,3,2,150,True,3,True,True,Appartement,Casablanca,1.7333333333333334
4,229.0,2,1,130,True,3,False,False,Appartement,Casablanca,1.7615384615384615
5,146.0,3,2,163,True,2,False,False,Appartement,Meknès,0.8957055214723927
6,390.0,4,3,313,True,3,True,True,Appartement,Casablanca,1.2460063897763578
7,400.0,5,3,720,False,3,False,False,Villa,Fès,0.5555555555555556
8,160.0,3,2,123,True,4,False,False,Appartement,Casablanca,1.3008130081300813
9,114.0,2,1,107,True,3,False,False,Appartement,Casablanca,1.0654205607476634
10,133.0,1,1,46,True,4,True,False,Studio,Casablanca,2.891304347826087
11,680.0,10,4,500,False,3,False,False,Villa,Mohammadia,1.36
12,95.0,1,1,35,True,3,False,False,Studio,Casablanca,2.7142857142857144
13,88.0,1,1,32,True,3,False,False,Studio,Casablanca,2.75
14,340.0,4,3,300,False,3,False,False,Villa,Marrakech,1.1333333333333333
15,179.0,2,2,129,True,1,True,True,Appartement,Dar Bouazza,1.3875968992248062
16,116.725,1,1,54,True,2,True,True,Studio,Casablanca,2.161574074074074
17,161.0,2,2,71,True,3,True,True,Appartement,Casablanca,2.267605633802817
18,179.4,2,2,78,True,3,True,True,Appartement,Casablanca,2.3000000000000003
19,67.7026,2,2,83,True,5,True,True,Appartement,Casablanca,0.8156939759036145
20,88.8,1,1,37,True,5,False,True,Studio,Marrakech,2.4
21,95.0,1,1,34,True,2,False,False,Studio,Casablanca,2.7941176470588234
22,135.0,1,1,50,True,1,False,False,Studio,Casablanca,2.7
23,105.6,1,1,44,True,3,False,True,Studio,Marrakech,2.4
24,94.0,2,1,65,True,5,False,False,Appartement,Tanger,1.4461538461538461
25,146.0,1,1,58,True,1,True,False,Studio,Casablanca,2.5172413793103448
26,100.0,2,1,98,True,5,True,False,Appartement,Casablanca,1.0204081632653061
27,175.0,1,2,173,True,7,True,False,Bureau,Casablanca,1.0115606936416186
28,260.0,3,2,150,True,3,True,True,Appartement,Casablanca,1.7333333333333334
29,229.0,2,1,130,True,3,False,False,Appartement,Casablanca,1.7615384615384615
30,146.0,3,2,163,True,2,False,False,Appartement,Meknès,0.8957055214723927
31,390.0,4,3,313,True,3,True,True,Appartement,Casablanca,1.2460063897763578
32,400.0,5,3,720,False,3,False,False,Villa,Fès,0.5555555555555556
33,160.0,3,2,123,True,4,False,False,Appartement,Casablanca,1.3008130081300813
34,114.0,2,1,107,True,3,False,False,Appartement,Casablanca,1.0654205607476634
35,133.0,1,1,46,True,4,True,False,Studio,Casablanca,2.891304347826087
36,680.0,10,4,500,False,3,False,False,Villa,Mohammadia,1.36
37,95.0,1,1,35,True,3,False,False,Studio,Casablanca,2.7142857142857144
38,88.0,1,1,32,True,3,False,False,Studio,Casablanca,2.75
39,340.0,4,3,300,False,3,False,False,Villa,Marrakech,1.1333333333333333
40,179.0,2,2,129,True,1,True,True,Appartement,Dar Bouazza,1.3875968992248062
41,116.725,1,1,54,True,2,True,True,Studio,Casablanca,2.161574074074074
42,161.0,2,2,71,True,3,True,True,Appartement,Casablanca,2.267605633802817
43,179.4,2,2,78,True,3,True,True,Appartement,Casablanca,2.3000000000000003
44,67.7026,2,2,83,True,5,True,True,Appartement,Casablanca,0.8156939759036145
45,88.8,1,1,37,True,5,False,True,Studio,Marrakech,2.4
46,95.0,1,1,34,True,2,False,False,Studio,Casablanca,2.7941176470588234
47,135.0,1,1,50,True,1,False,False,Studio,Casablanca,2.7
48,105.6,1,1,44,True,3,False,True,Studio,Marrakech,2.4
49,94.0,2,1,65,True,5,False,False,Appartement,Tanger,1.4461538461538461
50,146.0,1,1,58,True,1,True,False,Studio,Casablanca,2.5172413793103448
51,100.0,2,1,98,True,5,True,False,Appartement,Casablanca,1.0204081632653061
52,175.0,1,2,173,True,7,True,False,Bureau,Casablanca,1.0115606936416186
53,260.0,3,2,150,True,3,True,True,Appartement,Casablanca,1.7333333333333334
54,229.0,2,1,130,True,3,False,False,Appartement,Casablanca,1.7615384615384615
55,146.0,3,2,163,True,2,False,False,Appartement,Meknès,0.8957055214723927
56,390.0,4,3,313,True,3,True,True,Appartement,Casablanca,1.2460063897763578
57,400.0,5,3,720,False,3,False,False,Villa,Fès,0.5555555555555556
58,160.0,3,2,123,True,4,False,False,Appartement,Casablanca,1.3008130081300813
59,114.0,2,1,107,True,3,False,False,Appartement,Casablanca,1.0654205607476634
60,133.0,1,1,46,True,4,True,False,Studio,Casablanca,2.891304347826087
61,680.0,10,4,500,False,3,False,False,Villa,Mohammadia,1.36
62,95.0,1,1,35,True,3,False,False,Studio,Casablanca,2.7142857142857144
63,88.0,1,1,32,True,3,False,False,Studio,Casablanca,2.75
64,340.0,4,3,300,False,3,False,False,Villa,Marrakech,1.1333333333333333
65,179.0,2,2,129,True,1,True,True,Appartement,Dar Bouazza,1.3875968992248062
66,116.725,1,1,54,True,2,True,True,Studio,Casablanca,2.161574074074074
67,161.0,2,2,71,True,3,True,True,Appartement,Casablanca,2.267605633802817
68,179.4,2,2,78,True,3,True,True,Appartement,Casablanca,2.3000000000000003
69,67.7026,2,2,83,True,5,True,True,Appartement,Casablanca,0.8156939759036145
70,88.8,1,1,37,True,5,False,True,Studio,Marrakech,2.4
71,95.0,1,1,34,True,2,False,False,Studio,Casablanca,2.7941176470588234
72,135.0,1,1,50,True,1,False,False,Studio,Casablanca,2.7
73,105.6,1,1,44,True,3,False,True,Studio,Marrakech,2.4
74,94.0,2,1,65,True,5,False,False,Appartement,Tanger,1.4461538461538461
75,146.0,1,1,58,True,1,True,False,Studio,Casablanca,2.5172413793103448
76,100.0,2,1,98,True,5,True,False,Appartement,Casablanca,1.0204081632653061
77,175.0,1,2,173,True,7,True,False,Bureau,Casablanca,1.0115606936416186
78,260.0,3,2,150,True,3,True,True,Appartement,Casablanca,1.7333333333333334
79,229.0,2,1,130,True,3,False,False,Appartement,Casablanca,1.7615384615384615
80,146.0,3,2,163,True,2,False,False,Appartement,Meknès,0.8957055214723927
81,390.0,4,3,313,True,3,True,True,Appartement,Casablanca,1.2460063897763578
82,400.0,5,3,720,False,3,False,False,Villa,Fès,0.5555555555555556
83,160.0,3,2,123,True,4,False,False,Appartement,Casablanca,1.3008130081300813
84,114.0,2,1,107,True,3,False,False,Appartement,Casablanca,1.0654205607476634
85,133.0,1,1,46,True,4,True,False,Studio,Casablanca,2.891304347826087
86,680.0,10,4,500,False,3,False,False,Villa,Mohammadia,1.36
87,95.0,1,1,35,True,3,False,False,Studio,Casablanca,2.7142857142857144
88,88.0,1,1,32,True,3,False,False,Studio,Casablanca,2.75
89,340.0,4,3,300,False,3,False,False,Villa,Marrakech,1.1333333333333333
90,179.0,2,2,129,True,1,True,True,Appartement,Dar Bouazza,1.3875968992248062
91,116.725,1,1,54,True,2,True,True,Studio,Casablanca,2.161574074074074
92,161.0,2,2,71,True,3,True,True,Appartement,Casablanca,2.267605633802817
93,179.4,2,2,78,True,3,True,True,Appartement,Casablanca,2.3000000000000003
94,67.7026,2,2,83,True,5,True,True,Appartement,Casablanca,0.8156939759036145
95,88.8,1,1,37,True,5,False,True,Studio,Marrakech,2.4
96,95.0,1,1,34,True,2,False,False,Studio,Casablanca,2.7941176470588234
97,135.0,1,1,50,True,1,False,False,Studio,Casablanca,2.7
98,105.6,1,1,44,True,3,False,True,Studio,Marrakech,2.4
99,94.0,2,1,65,True,5,False,False,Appartement,Tanger,1.4461538461538461
100,146.0,1,1,58,True,1,True,False,Studio,Casablanca,2.5172413793103448
101,100.0,2,1,98,True,5,True,False,Appartement,Casablanca,1.0204081632653061
102,175.0,1,2,173,True,7,True,False,Bureau,Casablanca,1.0115606936416186
103,260.0,3,2,150,True,3,True,True,Appartement,Casablanca,1.7333333333333334
104,229.0,2,1,130,True,3,False,False,Appartement,Casablanca,1.7615384615384615
105,146.0,3,2,163,True,2,False,False,Appartement,Meknès,0.8957055214723927
106,390.0,4,3,313,True,3,True,True,Appartement,Casablanca,1.2460063897763578
107,400.0,5,3,720,False,3,False,False,Villa,Fès,0.5555555555555556
108,160.0,3,2,123,True,4,False,False,Appartement,Casablanca,1.3008130081300813
109,114.0,2,1,107,True,3,False,False,Appartement,Casablanca,1.0654205607476634
110,133.0,1,1,46,True,4,True,False,Studio,Casablanca,2.891304347826087
111,680.0,10,4,500,False,3,False,False,Villa,Mohammadia,1.36
112,95.0,1,1,35,True,3,False,False,Studio,Casablanca,2.7142857142857144
113,88.0,1,1,32,True,3,False,False,Studio,Casablanca,2.75
114,340.0,4,3,300,False,3,False,False,Villa,Marrakech,1.1333333333333333
115,179.0,2,2,129,True,1,True,True,Appartement,Dar Bouazza,1.3875968992248062
116,116.725,1,1,54,True,2,True,True,Studio,Casablanca,2.161574074074074
117,161.0,2,2,71,True,3,True,True,Appartement,Casablanca,2.267605633802817
118,179.4,2,2,78,True,3,True,True,Appartement,Casablanca,2.3000000000000003
119,67.7026,2,2,83,True,5,True,True,Appartement,Casablanca,0.8156939759036145
120,88.8,1,1,37,True,5,False,True,Studio,Marrakech,2.4
121,95.0,1,1,34,True,2,False,False,Studio,Casablanca,2.7941176470588234
122,135.0,1,1,50,True,1,False,False,Studio,Casablanca,2.7
123,105.6,1,1,44,True,3,False,True,Studio,Marrakech,2.4
124,94.0,2,1,65,True,5,False,False,Appartement,Tanger,1.4461538461538461
125,146.0,1,1,58,True,1,True,False,Studio,Casablanca,2.5172413793103448
126,100.0,2,1,98,True,5,True,False,Appartement,Casablanca,1.0204081632653061
127,175.0,1,2,173,True,7,True,False,Bureau,Casablanca,1.0115606936416186
128,260.0,3,2,150,True,3,True,True,Appartement,Casablanca,1.7333333333333334
129,229.0,2,1,130,True,3,False,False,Appartement,Casablanca,1.7615384615384615
130,146.0,3,2,163,True,2,False,False,Appartement,Meknès,0.8957055214723927
131,390.0,4,3,313,True,3,True,True,Appartement,Casablanca,1.2460063897763578
